1,Lewis Hamilton,United Kingdom,Mercedes,347
2,Valtteri Bottas,Finland,Mercedes,223
3,Max Verstappen,Netherlands,Red Bull,214
4,Sergio Perez,Mexico,Racing Point,125
5,Daniel Ricciardo,Australia,Renault,119
6,Carlos Sainz,Spain,Mclaren,105
7,Alexander Albon,Thailand,Red Bull,105
8,Charles Leclerc,Monaco,Ferrari,98
9,Lando Norris,United Kingdom,Mclaren,97
10,Pierre Gasly,France,AlphaTauri,75
11,Lance Stroll,Canada,Racing Point,75
12,Esteban Ocon,France,Renault,62
13,Sebastian Vettel,Germany,Ferrari,33
14,Daniil Kvyat,Russia,AlphaTauri,32
15,Nico Hulkenburg,Germany,Racing Point,10
16,Kimi Raikkonen,Finland,Alfa Romeo,4
17,Antonio Giovinazzi,Italy,Alfa Romeo,4
18,George Russell,United Kingdom,Williams,3
19,Romain Grosjean,France,Haas,2
20,Kevin Magnussen,Denmark,Haas,1
21,Nicholas Latifi,Canada,Williams,0
